"WHO_REGION","COUNTRY_NAME","COUNTRY_CODE","ISO_YEAR","ISO_START_DATE","SEX","AGEGROUP","AGEGROUP_NUM","DAILY_CASES","DAILY_CASES_DEATHS","DETAILED_CASES","DETAILED_CASES_DEATHS","DETAILED_CASES_CONFIRMED","PERSONS_TESTED"
"WPR","Australia","AUS",2021,"2/8/2021","All","All",0,48,0,44,0,44,363277
"WPR","Australia","AUS",2021,"3/1/2021","All","All",0,67,0,72,0,72,279362
"WPR","Australia","AUS",2021,"3/22/2021","All","All",0,64,0,77,1,77,250737
"WPR","Australia","AUS",2021,"1/4/2021","All","All",0,112,0,151,0,151,575737
"WPR","Australia","AUS",2021,"4/19/2021","All","All",0,147,0,139,0,139,246060
"WPR","Australia","AUS",2021,"6/7/2021","All","All",0,58,0,58,0,58,438194
"WPR","Australia","AUS",2021,"1/18/2021","All","All",0,58,0,69,0,69,307363
"WPR","Australia","AUS",2021,"5/3/2021","All","All",0,97,0,63,0,63,305733
"WPR","Australia","AUS",2021,"1/11/2021","All","All",0,113,1,109,1,109,401487
"WPR","Australia","AUS",2021,"1/25/2021","All","All",0,45,0,109,0,109,238459
"WPR","Australia","AUS",2021,"3/15/2021","All","All",0,79,0,77,0,77,286440
"WPR","Australia","AUS",2021,"5/24/2021","All","All",0,87,0,94,0,94,467301
"WPR","Australia","AUS",2021,"6/14/2021","All","All",0,87,0,87,0,87,406340
"WPR","Australia","AUS",2021,"2/1/2021","All","All",0,39,0,52,0,52,323854
"WPR","Australia","AUS",2021,"2/22/2021","All","All",0,44,0,69,0,69,295659
"WPR","Australia","AUS",2021,"4/12/2021","All","All",0,114,2,127,2,127,243886
"WPR","Australia","AUS",2021,"4/5/2021","All","All",0,57,0,63,0,63,248170
"WPR","Australia","AUS",2021,"4/26/2021","All","All",0,160,0,121,0,121,313801
"WPR","Australia","AUS",2021,"5/17/2021","All","All",0,36,0,46,0,46,315846
"WPR","Australia","AUS",2021,"2/15/2021","All","All",0,28,1,32,1,32,414899
"WPR","Australia","AUS",2021,"3/29/2021","All","All",0,88,1,94,0,94,426930
"WPR","Australia","AUS",2021,"12/20/2021","All","All",0,99764,69,99757,69,99757,2039128
"WPR","Australia","AUS",2021,"7/12/2021","All","All",0,875,5,875,5,875,917016
"WPR","Australia","AUS",2021,"7/26/2021","All","All",0,1667,7,1667,7,1667,1169978
"WPR","Australia","AUS",2021,"8/2/2021","All","All",0,2313,16,2314,16,2314,1351540
"WPR","Australia","AUS",2021,"8/9/2021","All","All",0,3613,27,3614,27,3614,1424895
"WPR","Australia","AUS",2021,"8/16/2021","All","All",0,6133,22,6135,22,6135,1503527
"WPR","Australia","AUS",2021,"8/23/2021","All","All",0,8140,20,8140,20,8140,1661225
"WPR","Australia","AUS",2021,"9/27/2021","All","All",0,15401,110,15404,110,15404,1391312
"WPR","Australia","AUS",2021,"10/11/2021","All","All",0,15347,105,15351,105,15351,1280771
"WPR","Australia","AUS",2021,"9/6/2021","All","All",0,12596,56,12596,55,12596,1411763
"WPR","Australia","AUS",2021,"10/25/2021","All","All",0,10046,112,10048,112,10048,1152850
"WPR","Australia","AUS",2021,"10/18/2021","All","All",0,13759,108,13762,108,13762,1190096
"WPR","Australia","AUS",2021,"9/20/2021","All","All",0,12498,95,12496,95,12496,1421714
"WPR","Australia","AUS",2021,"11/1/2021","All","All",0,9666,97,9663,97,9663,1078109
"WPR","Australia","AUS",2021,"11/8/2021","All","All",0,8701,66,8701,66,8701,1060784
